,pokedex_number,name,generation,status,type_1,type_2,height_m,weight_kg,total_points,hp,attack,defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
0,1,Bulbasaur,1,Normal,Grass,Poison,0.7,6.9,318,45,49,49,45,45.0,70.0,64.0,Medium Slow,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
1,2,Ivysaur,1,Normal,Grass,Poison,1.0,13.0,405,60,62,63,60,45.0,70.0,142.0,Medium Slow,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2,3,Venusaur,1,Normal,Grass,Poison,2.0,100.0,525,80,82,83,80,45.0,70.0,236.0,Medium Slow,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
4,4,Charmander,1,Normal,Fire,,0.6,8.5,309,39,52,43,65,45.0,70.0,62.0,Medium Slow,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
5,5,Charmeleon,1,Normal,Fire,,1.1,19.0,405,58,64,58,80,45.0,70.0,142.0,Medium Slow,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
6,6,Charizard,1,Normal,Fire,Flying,1.7,90.5,534,78,84,78,100,45.0,70.0,240.0,Medium Slow,20.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
9,7,Squirtle,1,Normal,Water,,0.5,9.0,314,44,48,65,43,45.0,70.0,63.0,Medium Slow,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
10,8,Wartortle,1,Normal,Water,,1.0,22.5,405,59,63,80,58,45.0,70.0,142.0,Medium Slow,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
11,9,Blastoise,1,Normal,Water,,1.6,85.5,530,79,83,100,78,45.0,70.0,239.0,Medium Slow,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
13,10,Caterpie,1,Normal,Bug,,0.3,2.9,195,45,30,35,45,255.0,70.0,39.0,Medium Fast,15.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
14,11,Metapod,1,Normal,Bug,,0.7,9.9,205,50,20,55,30,120.0,70.0,72.0,Medium Fast,15.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
15,12,Butterfree,1,Normal,Bug,Flying,1.1,32.0,395,60,45,50,70,45.0,70.0,178.0,Medium Fast,15.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
16,13,Weedle,1,Normal,Bug,Poison,0.3,3.2,195,40,35,30,50,255.0,70.0,39.0,Medium Fast,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
17,14,Kakuna,1,Normal,Bug,Poison,0.6,10.0,205,45,25,50,35,120.0,70.0,72.0,Medium Fast,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
18,15,Beedrill,1,Normal,Bug,Poison,1.0,29.5,395,65,90,40,75,45.0,70.0,178.0,Medium Fast,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
20,16,Pidgey,1,Normal,Normal,Flying,0.3,1.8,251,40,45,40,56,255.0,70.0,50.0,Medium Slow,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
21,17,Pidgeotto,1,Normal,Normal,Flying,1.1,30.0,349,63,60,55,71,120.0,70.0,122.0,Medium Slow,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
22,18,Pidgeot,1,Normal,Normal,Flying,1.5,39.5,479,83,80,75,101,45.0,70.0,216.0,Medium Slow,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
24,19,Rattata,1,Normal,Normal,,0.3,3.5,253,30,56,35,72,255.0,70.0,51.0,Medium Fast,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
26,20,Raticate,1,Normal,Normal,,0.7,18.5,413,55,81,60,97,127.0,70.0,145.0,Medium Fast,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
28,21,Spearow,1,Normal,Normal,Flying,0.3,2.0,262,40,60,30,70,255.0,70.0,52.0,Medium Fast,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
29,22,Fearow,1,Normal,Normal,Flying,1.2,38.0,442,65,90,65,100,90.0,70.0,155.0,Medium Fast,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
30,23,Ekans,1,Normal,Poison,,2.0,6.9,288,35,60,44,55,255.0,70.0,58.0,Medium Fast,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
31,24,Arbok,1,Normal,Poison,,3.5,65.0,448,60,95,69,80,90.0,70.0,157.0,Medium Fast,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
32,25,Pikachu,1,Normal,Electric,,0.4,6.0,320,35,55,40,90,190.0,70.0,112.0,Medium Fast,10.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
34,26,Raichu,1,Normal,Electric,,0.8,30.0,485,60,90,55,110,75.0,70.0,218.0,Medium Fast,10.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
36,27,Sandshrew,1,Normal,Ground,,0.6,12.0,300,50,75,85,40,255.0,70.0,60.0,Medium Fast,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
38,28,Sandslash,1,Normal,Ground,,1.0,29.5,450,75,100,110,65,90.0,70.0,158.0,Medium Fast,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
40,29,Nidoran♀,1,Normal,Poison,,0.4,7.0,275,55,47,52,41,235.0,70.0,55.0,Medium Slow,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
